Date,Wind,Day,Quarter
2011-04-25 00:00:00,0.48,115,2.0
2011-04-26 00:00:00,3.01,116,2.0
2011-04-27 00:00:00,3.21,117,2.0
2011-04-28 00:10:00,3.13,118,2.0
2011-04-29 00:00:00,1.21,119,2.0
2011-04-30 00:00:00,2.00,120,2.0
2011-05-01 00:00:00,0.84,121,2.0
2011-05-02 00:00:00,1.64,122,2.0
2011-05-03 00:00:00,2.30,123,2.0
2011-05-04 00:00:00,0.93,124,2.0
2011-05-05 00:00:00,2.04,125,2.0
2011-05-06 00:00:00,2.48,126,2.0
2011-05-07 00:00:00,1.16,127,2.0
2011-05-08 00:00:00,1.61,128,2.0
2011-05-09 00:00:00,2.24,129,2.0
2011-05-10 00:00:00,2.20,130,2.0
2011-05-11 00:00:00,0.81,131,2.0
2011-05-12 00:00:00,1.08,132,2.0
2011-05-13 00:00:00,1.02,133,2.0
2011-05-14 00:00:00,1.00,134,2.0
2011-05-15 00:00:00,0.62,135,2.0
2011-05-16 00:00:00,2.53,136,2.0
2011-05-17 00:00:00,2.34,137,2.0
2011-05-18 00:00:00,2.32,138,2.0
2011-05-19 00:00:00,1.40,139,2.0
2011-05-20 00:00:00,0.46,140,2.0
2011-05-21 00:00:00,0.33,141,2.0
2011-05-22 00:00:00,1.11,142,2.0
2011-05-23 00:00:00,2.24,143,2.0
2011-05-24 00:00:00,0.94,144,2.0
2011-05-25 00:00:00,0.85,145,2.0
2011-05-26 00:00:00,2.29,146,2.0
2011-05-27 00:00:00,0.68,147,2.0
2011-05-28 00:00:00,1.90,148,2.0
2011-05-29 00:00:00,1.47,149,2.0
2011-05-30 00:00:00,1.01,150,2.0
2011-05-31 00:00:00,0.25,151,2.0
2011-06-01 00:00:00,0.93,152,2.0
2011-06-02 00:00:00,3.93,153,2.0
2011-06-03 00:00:00,1.77,154,2.0
2011-06-04 00:00:00,0.48,155,2.0
2011-06-05 00:00:00,0.52,156,2.0
2011-06-06 00:00:00,0.75,157,2.0
2011-06-07 00:00:00,0.46,158,2.0
2011-06-08 00:00:00,0.33,159,2.0
2011-06-09 00:00:00,0.45,160,2.0
2011-06-10 00:00:00,0.57,161,2.0
2011-06-11 00:00:00,1.86,162,2.0
2011-06-12 00:00:00,1.55,163,2.0
2011-06-13 00:00:00,0.21,164,2.0
2011-06-14 00:00:00,0.34,165,2.0
2011-06-15 00:00:00,0.83,166,2.0
2011-06-16 00:00:00,0.36,167,2.0
2011-06-17 00:00:00,0.19,168,2.0
2011-06-18 00:00:00,0.52,169,2.0
2011-06-19 00:00:00,0.94,170,2.0
2011-06-20 00:00:00,0.57,171,2.0
2011-06-21 00:00:00,0.39,172,2.0
2011-06-22 00:00:00,0.32,173,2.0
2011-06-23 00:00:00,0.91,174,2.0
2011-06-24 00:00:00,1.96,175,2.0
2011-06-25 00:00:00,0.78,176,2.0
2011-06-26 00:00:00,0.22,177,2.0
2011-06-27 00:00:00,0.23,178,2.0
2011-06-28 00:00:00,0.28,179,2.0
2011-06-29 00:00:00,1.16,180,2.0
2011-06-30 00:00:00,1.89,181,2.0
2011-07-01 00:00:00,0.51,182,3.0
2011-07-02 00:00:00,0.23,183,3.0
2011-07-03 00:00:00,0.12,184,3.0
2011-07-04 00:00:00,0.55,185,3.0
2011-07-05 00:00:00,0.13,186,3.0
2011-07-06 00:00:00,0.53,187,3.0
2011-07-07 00:00:00,0.52,188,3.0
2011-07-08 00:00:00,0.28,189,3.0
2011-07-09 00:00:00,0.97,190,3.0
2011-07-10 00:00:00,0.40,191,3.0
2011-07-11 00:00:00,0.39,192,3.0
2011-07-12 00:00:00,1.76,193,3.0
2011-07-13 00:00:00,0.92,194,3.0
2011-07-14 00:00:00,0.83,195,3.0
2011-07-15 00:00:00,0.52,196,3.0
2011-07-16 00:00:00,0.14,197,3.0
2011-07-17 00:00:00,0.48,198,3.0
2011-07-18 00:00:00,0.63,199,3.0
2011-07-19 00:00:00,0.56,200,3.0
2011-07-20 00:00:00,0.32,201,3.0
2011-07-21 00:00:00,0.71,202,3.0
2011-07-22 00:00:00,0.87,203,3.0
2011-07-23 00:00:00,0.70,204,3.0
2011-07-24 00:00:00,0.56,205,3.0
2011-07-25 00:00:00,0.70,206,3.0
2011-07-26 00:00:00,0.68,207,3.0
2011-07-27 00:00:00,0.73,208,3.0
2011-07-28 00:00:00,0.24,209,3.0
2011-07-29 00:00:00,0.92,210,3.0
2011-07-30 00:00:00,0.78,211,3.0
2011-07-31 00:00:00,0.31,212,3.0
2011-08-01 00:00:00,0.67,213,3.0
2011-08-02 00:00:00,1.12,214,3.0
2011-08-03 00:00:00,0.13,215,3.0
2011-08-04 00:00:00,0.25,216,3.0
2011-08-05 00:00:00,0.08,217,3.0
2011-08-06 00:00:00,0.34,218,3.0
2011-08-07 00:00:00,0.19,219,3.0
2011-08-08 00:00:00,0.92,220,3.0
2011-08-09 00:00:00,0.39,221,3.0
2011-08-10 00:00:00,0.63,222,3.0
2011-08-11 00:00:00,1.25,223,3.0
2011-08-12 00:00:00,0.74,224,3.0
2011-08-13 00:00:00,0.13,225,3.0
2011-08-14 00:00:00,0.12,226,3.0
2011-08-15 00:00:00,0.23,227,3.0
2011-08-16 00:00:00,0.32,228,3.0
2011-08-17 00:00:00,0.24,229,3.0
2011-08-18 00:00:00,0.22,230,3.0
2011-08-19 00:00:00,0.37,231,3.0
2011-08-20 00:00:00,0.39,232,3.0
2011-08-21 00:00:00,1.02,233,3.0
2011-08-22 00:00:00,1.85,234,3.0
2011-08-23 00:00:00,0.53,235,3.0
2011-08-24 00:00:00,1.35,236,3.0
2011-08-25 00:00:00,1.75,237,3.0
2011-08-26 00:00:00,0.42,238,3.0
2011-08-27 00:00:00,0.10,239,3.0
2011-08-28 00:00:00,2.53,240,3.0
2011-08-29 00:00:00,0.81,241,3.0
2011-08-30 00:00:00,0.32,242,3.0
2011-08-31 00:00:00,0.13,243,3.0
2011-09-01 00:00:00,0.23,244,3.0
2011-09-02 00:00:00,0.40,245,3.0
2011-09-03 00:00:00,0.00,246,3.0
2011-09-04 00:00:00,0.73,247,3.0
2011-09-05 00:00:00,0.20,248,3.0
2011-09-06 00:00:00,0.08,249,3.0
2011-09-07 00:00:00,0.98,250,3.0
2011-09-08 00:00:00,0.15,251,3.0
2011-09-09 00:00:00,0.74,252,3.0
2011-09-10 00:00:00,0.36,253,3.0
2011-09-11 00:00:00,0.46,254,3.0
2011-09-12 00:00:00,0.09,255,3.0
2011-09-13 00:00:00,0.69,256,3.0
2011-09-14 00:00:00,0.22,257,3.0
2011-09-15 00:00:00,0.39,258,3.0
2011-09-16 00:00:00,1.38,259,3.0
2011-09-17 00:00:00,0.06,260,3.0
2011-09-18 00:00:00,0.45,261,3.0
2011-09-19 00:00:00,0.44,262,3.0
2011-09-20 00:00:00,0.29,263,3.0
2011-09-21 00:00:00,0.38,264,3.0
2011-09-22 00:00:00,0.06,265,3.0
2011-09-23 00:00:00,0.16,266,3.0
2011-09-24 00:00:00,0.09,267,3.0
2011-09-25 00:00:00,0.41,268,3.0
2011-09-26 00:00:00,0.15,269,3.0
2011-09-27 00:00:00,0.12,270,3.0
2011-09-28 00:00:00,1.79,271,3.0
2011-09-29 00:00:00,0.80,272,3.0
2011-09-30 00:00:00,0.62,273,3.0
2011-10-01 00:00:00,1.04,274,4.0
2011-10-02 00:00:00,0.30,275,4.0
2011-10-03 00:00:00,0.16,276,4.0
2011-10-04 00:00:00,0.90,277,4.0
2011-10-05 00:00:00,1.43,278,4.0
2011-10-06 00:00:00,0.84,279,4.0
2011-10-07 00:00:00,0.30,280,4.0
2011-10-08 00:00:00,0.21,281,4.0
2011-10-09 00:00:00,0.30,282,4.0
2011-10-10 00:00:00,0.41,283,4.0
2011-10-11 00:00:00,0.31,284,4.0
2011-10-12 00:00:00,1.51,285,4.0
2011-10-13 00:00:00,2.07,286,4.0
2011-10-14 00:00:00,2.00,287,4.0
2011-10-15 00:00:00,2.70,288,4.0
2011-10-16 00:00:00,1.99,289,4.0
2011-10-17 00:00:00,1.55,290,4.0
2011-10-18 00:00:00,0.84,291,4.0
2011-10-19 00:00:00,2.36,292,4.0
2011-10-20 00:00:00,3.40,293,4.0
2011-10-21 00:00:00,1.13,294,4.0
2011-10-22 00:00:00,1.32,295,4.0
2011-10-23 00:00:00,0.37,296,4.0
2011-10-24 00:00:00,1.27,297,4.0
2011-10-25 00:00:00,3.21,298,4.0
2011-10-26 00:00:00,0.11,299,4.0
2011-10-27 00:00:00,0.74,300,4.0
2011-10-28 00:00:00,0.52,301,4.0
2011-10-29 00:00:00,0.89,302,4.0
2011-10-30 00:00:00,2.16,303,4.0
2011-10-31 00:00:00,0.35,304,4.0
2011-11-01 00:00:00,0.20,305,4.0
2011-11-02 00:00:00,0.32,306,4.0
2011-11-03 00:00:00,0.34,307,4.0
2011-11-04 00:00:00,2.58,308,4.0
2011-11-05 00:00:00,0.68,309,4.0
2011-11-06 00:00:00,0.33,310,4.0
2011-11-07 00:00:00,0.31,311,4.0
2011-11-08 00:00:00,0.37,312,4.0
2011-11-09 00:00:00,1.47,313,4.0
2011-11-10 00:00:00,2.78,314,4.0
2011-11-11 00:00:00,3.54,315,4.0
2011-11-12 00:00:00,1.81,316,4.0
2011-11-13 00:00:00,2.22,317,4.0
2011-11-14 00:00:00,2.50,318,4.0
2011-11-15 00:00:00,1.65,319,4.0
2011-11-16 00:00:00,0.46,320,4.0
2011-11-17 00:00:00,3.46,321,4.0
2011-11-18 00:00:00,2.71,322,4.0
2011-11-19 00:00:00,2.39,323,4.0
2011-11-20 00:00:00,2.60,324,4.0
2011-11-21 00:00:00,1.82,325,4.0
2011-11-22 00:00:00,0.77,326,4.0
2011-11-23 00:00:00,2.95,327,4.0
2011-11-24 00:00:00,0.84,328,4.0
2011-11-25 00:00:00,0.26,329,4.0
2011-11-26 00:00:00,0.32,330,4.0
2011-11-27 00:00:00,1.65,331,4.0
2011-11-28 00:00:00,0.92,332,4.0
2011-11-29 00:00:00,2.38,333,4.0
2011-11-30 00:00:00,2.92,334,4.0
2011-12-01 00:00:00,1.89,335,4.0
2011-12-02 00:00:00,1.34,336,4.0
2011-12-03 00:00:00,0.53,337,4.0
2011-12-04 00:00:00,2.25,338,4.0
2011-12-05 00:00:00,0.74,339,4.0
2011-12-06 00:00:00,1.77,340,4.0
2011-12-07 00:00:00,1.32,341,4.0
2011-12-08 00:00:00,0.80,342,4.0
2011-12-09 00:00:00,0.49,343,4.0
2011-12-10 00:00:00,2.74,344,4.0
2011-12-11 00:00:00,0.37,345,4.0
2011-12-12 00:00:00,0.11,346,4.0
2011-12-13 00:00:00,0.61,347,4.0
2011-12-14 00:00:00,0.29,348,4.0
2011-12-15 00:00:00,4.21,349,4.0
2011-12-16 00:00:00,4.85,350,4.0
2011-12-17 00:00:00,2.28,351,4.0
2011-12-18 00:00:00,1.23,352,4.0
2011-12-19 00:00:00,1.70,353,4.0
2011-12-20 00:00:00,2.12,354,4.0
2011-12-21 00:00:00,1.65,355,4.0
2011-12-22 00:00:00,1.96,356,4.0
2011-12-23 00:00:00,2.20,357,4.0
2011-12-24 00:00:00,1.74,358,4.0
2011-12-25 00:00:00,2.25,359,4.0
2011-12-26 00:00:00,2.69,360,4.0
2011-12-27 00:00:00,2.04,361,4.0
2011-12-28 00:00:00,4.34,362,4.0
2011-12-29 00:00:00,1.66,363,4.0
2011-12-30 00:00:00,0.59,364,4.0
2011-12-31 00:00:00,1.00,365,4.0
